epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,28434.9,1.32492,1.68059,1.34001,0.5869,0.37383,0.41647,0.28857,1.23017,1.54788,1.26081,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,28696.2,1.32023,1.69061,1.33643,0.58809,0.369,0.41334,0.28616,1.23443,1.55878,1.26406,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,28953.2,1.31332,1.68225,1.3346,0.58587,0.36788,0.41067,0.28449,1.23559,1.56525,1.26479,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,29210.6,1.32329,1.68433,1.3374,0.58518,0.36729,0.41016,0.28449,1.23552,1.5661,1.2648,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,29466.6,1.31687,1.6743,1.32965,0.5833,0.37011,0.41289,0.28589,1.23349,1.55966,1.26316,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,29723.8,1.31336,1.66657,1.32907,0.58453,0.37357,0.4167,0.28872,1.22992,1.54493,1.25999,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,29978.6,1.314,1.67366,1.33007,0.58891,0.37512,0.41956,0.29079,1.2271,1.53472,1.25765,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,30237.6,1.30929,1.66681,1.33021,0.58709,0.37845,0.42146,0.29223,1.22621,1.52834,1.25654,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,30495.3,1.31678,1.66987,1.33329,0.58778,0.38076,0.42346,0.29337,1.22455,1.52084,1.25515,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,30752.6,1.31446,1.68059,1.33171,0.58941,0.38135,0.42497,0.29454,1.22328,1.51467,1.25404,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,31007.5,1.30694,1.67043,1.32931,0.59071,0.38305,0.42584,0.29547,1.22378,1.51211,1.25428,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,31264.4,1.30595,1.67786,1.33015,0.58869,0.38393,0.42691,0.29624,1.22278,1.50774,1.25313,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,31521.1,1.31359,1.66514,1.33091,0.58709,0.38587,0.42651,0.2956,1.22353,1.50711,1.25359,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,31778.1,1.30889,1.66233,1.32729,0.59041,0.3839,0.42657,0.29582,1.22305,1.50469,1.25303,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,32036.7,1.30559,1.6672,1.32869,0.58793,0.38779,0.42724,0.29595,1.22245,1.50217,1.25256,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,32294.9,1.31751,1.66472,1.3309,0.58942,0.38639,0.42795,0.29645,1.22228,1.49967,1.25199,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,32551,1.31549,1.67349,1.33137,0.58974,0.38916,0.42902,0.29737,1.22188,1.49584,1.25113,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,32808.7,1.30685,1.65987,1.3259,0.59161,0.38916,0.43022,0.29794,1.22119,1.49193,1.25005,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,33065.4,1.30637,1.66268,1.32341,0.5924,0.39101,0.43193,0.29927,1.21905,1.48676,1.24835,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,33323.8,1.30803,1.65654,1.32808,0.59108,0.39132,0.43278,0.29993,1.21752,1.48351,1.24719,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,33579.3,1.30967,1.66281,1.32652,0.59289,0.39147,0.4338,0.30085,1.21657,1.48035,1.24637,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,33837.1,1.30682,1.67066,1.32686,0.59553,0.39134,0.43533,0.30177,1.21499,1.47614,1.24495,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,34102.9,1.30829,1.66555,1.3268,0.59436,0.39231,0.43637,0.30284,1.21352,1.47183,1.24365,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,34374.7,1.3009,1.65002,1.3236,0.59209,0.39424,0.43738,0.30356,1.2128,1.4688,1.24287,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,34647.3,1.30278,1.65034,1.32318,0.59375,0.39422,0.43858,0.30441,1.21115,1.46471,1.24169,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,34918.7,1.30406,1.65954,1.32582,0.59697,0.39627,0.43953,0.30531,1.20945,1.46106,1.24064,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,35193.6,1.30766,1.65489,1.32288,0.59329,0.39735,0.44005,0.30583,1.2082,1.45842,1.23975,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,35466.1,1.30482,1.64296,1.3212,0.59566,0.39702,0.44014,0.30599,1.20744,1.45615,1.23899,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,35747.3,1.30201,1.64459,1.32196,0.59147,0.39945,0.44018,0.30604,1.2065,1.45509,1.23795,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,36015.9,1.30286,1.65555,1.32123,0.59592,0.39698,0.43952,0.30605,1.20577,1.45454,1.23759,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,36279,1.30148,1.65272,1.32371,0.59538,0.39693,0.43978,0.3062,1.20476,1.45273,1.23681,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,36540.7,1.3106,1.65255,1.32746,0.59428,0.39871,0.44056,0.30675,1.20316,1.44869,1.23536,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,36806.3,1.3031,1.65389,1.3251,0.59404,0.39943,0.44141,0.30748,1.20199,1.44512,1.23415,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,37069.1,1.30678,1.65263,1.32274,0.59416,0.40014,0.44261,0.30814,1.20067,1.44029,1.23274,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,37334.6,1.29826,1.65022,1.31949,0.59399,0.40227,0.44389,0.30917,1.19863,1.4344,1.23083,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,37597.1,1.3061,1.65692,1.3222,0.59613,0.4044,0.44611,0.31065,1.19696,1.42752,1.22922,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
